id,Location,Type,Count
HAss42,Asosa,4,3
HKum11,Kurmuk,4,3
HShr118,Sherkole,4,3
HShr122,Sherkole,4,3
HShr17,Sherkole,4,3
HShr49,Sherkole,4,3
HShr70,Sherkole,4,3
HShr80,Sherkole,4,3
HShr82,Sherkole,4,3
HKum47,Kurmuk,4,3
HShr86,Sherkole,4,3
HShr98,Sherkole,4,3
LKum28,Kurmuk,4,3
LKum61,Kurmuk,4,3
LKum74,Kurmuk,4,3
LShr108,Sherkole,4,3
LShr112,Sherkole,4,3
LShr116,Sherkole,4,3
LShr132,Sherkole,4,3
LShr133,Sherkole,4,3
LShr157,Sherkole,4,3
LShr165,Sherkole,4,3
LShr171,Sherkole,4,3
LShr177,Sherkole,4,3
LShr44,Sherkole,4,3
LShr64,Sherkole,4,3
LShr86,Sherkole,4,3
HAss35,Asosa,4,3
HKum57,Kurmuk,4,3
HKum67,Kurmuk,4,3
HShr105,Sherkole,4,3
HShr12,Sherkole,4,3
HShr133,Sherkole,4,3
HShr3,Sherkole,4,3
HShr44,Sherkole,4,3
HShr48,Sherkole,4,3
HShr64,Sherkole,4,3
HShr87,Sherkole,4,3
LKum58,Kurmuk,4,3
LShr61,Sherkole,4,3
LShr73,Sherkole,4,3
HAss23,Asosa,4,3
HAss39,Asosa,4,3
HKum19,Kurmuk,4,3
HKum34,Kurmuk,4,3
HShr114,Sherkole,4,3
HShr126,Sherkole,4,3
HShr14,Sherkole,4,3
HShr146,Sherkole,4,3
HShr148,Sherkole,4,3
HShr161,Sherkole,4,3
HShr182,Sherkole,4,3
HShr31,Sherkole,4,3
HShr45,Sherkole,4,3
HShr65,Sherkole,4,3
HShr71,Sherkole,4,3
HShr77,Sherkole,4,3
HShr88,Sherkole,4,3
HShr96,Sherkole,4,3
LAss15,Asosa,4,3
LKum12,Kurmuk,4,3
LKum17,Kurmuk,4,3
LShr3,Sherkole,4,3
LShr5,Sherkole,4,3
HBab18,Bambasi,4,3
HBab23,Bambasi,4,3
HBab24,Bambasi,4,3
HBab25,Bambasi,4,3
HBab47,Bambasi,4,3
HBab48,Bambasi,4,3
HBab49,Bambasi,4,3
HBab50,Bambasi,4,3
HBab64,Bambasi,4,3
HBab66,Bambasi,4,3
HBab68,Bambasi,4,3
HBab92,Bambasi,4,3
HAss51,Asosa,4,3
HBab7,Bambasi,4,3
HBab75,Bambasi,4,3
HBab80,Bambasi,4,3
HBab81,Bambasi,4,3
HShr35,Sherkole,4,3
LBab37,Bambasi,4,3
LBab56,Bambasi,4,3
LBab57,Bambasi,4,3
LBab67,Bambasi,4,3
LBab82,Bambasi,4,3
HBab9,Bambasi,4,3
HBab21,Bambasi,4,3
HBab37,Bambasi,4,3
LBab1,Bambasi,4,3
LBab30,Bambasi,4,3
HBab13,Bambasi,4,3
HBab15,Bambasi,4,3
HBab17,Bambasi,4,3
HBab79,Bambasi,4,3
HBab95,Bambasi,4,3
HBab100,Bambasi,4,3
HBab118,Bambasi,4,3
LBab98,Bambasi,4,3
HKum9,Kurmuk,4,3
HAss14,Asosa,5,0
HAss42,Asosa,5,0
HKum11,Kurmuk,5,9
HShr118,Sherkole,5,9
HShr122,Sherkole,5,9
HShr17,Sherkole,5,9
HShr49,Sherkole,5,9
HShr70,Sherkole,5,9
HShr80,Sherkole,5,9
HShr82,Sherkole,5,9
HKum47,Kurmuk,5,9
HShr86,Sherkole,5,9
HShr98,Sherkole,5,9
LKum28,Kurmuk,5,0
LKum61,Kurmuk,5,9
LKum74,Kurmuk,5,9
LShr108,Sherkole,5,9
LShr112,Sherkole,5,9
LShr116,Sherkole,5,9
LShr132,Sherkole,5,9
LShr133,Sherkole,5,9
LShr157,Sherkole,5,9
LShr165,Sherkole,5,9
LShr171,Sherkole,5,9
LShr177,Sherkole,5,9
LShr44,Sherkole,5,9
LShr64,Sherkole,5,9
LShr86,Sherkole,5,9
HAss35,Asosa,5,0
HKum57,Kurmuk,5,0
HKum67,Kurmuk,5,9
HShr105,Sherkole,5,0
HShr12,Sherkole,5,0
HShr133,Sherkole,5,0
HShr3,Sherkole,5,0
HShr44,Sherkole,5,9
HShr48,Sherkole,5,0
HShr64,Sherkole,5,0
HShr87,Sherkole,5,0
LKum58,Kurmuk,5,9
LShr61,Sherkole,5,0
LShr73,Sherkole,5,9
HAss23,Asosa,5,9
HAss39,Asosa,5,9
HKum19,Kurmuk,5,0
HKum34,Kurmuk,5,9
HShr114,Sherkole,5,9
HShr126,Sherkole,5,0
HShr14,Sherkole,5,9
HShr146,Sherkole,5,9
HShr148,Sherkole,5,9
HShr161,Sherkole,5,0
HShr182,Sherkole,5,0
HShr31,Sherkole,5,0
HShr45,Sherkole,5,9
HShr65,Sherkole,5,0
HShr71,Sherkole,5,0
HShr77,Sherkole,5,0
HShr88,Sherkole,5,0
HShr96,Sherkole,5,0
LAss15,Asosa,5,0
LKum12,Kurmuk,5,0
LKum17,Kurmuk,5,9
LShr3,Sherkole,5,0
LShr5,Sherkole,5,9
HBab18,Bambasi,5,0
HBab23,Bambasi,5,0
HBab24,Bambasi,5,9
HBab25,Bambasi,5,9
HBab47,Bambasi,5,9
HBab48,Bambasi,5,0
HBab49,Bambasi,5,0
HBab50,Bambasi,5,9
HBab64,Bambasi,5,9
HBab66,Bambasi,5,9
HBab68,Bambasi,5,9
HBab92,Bambasi,5,9
HAss51,Asosa,5,0
HBab7,Bambasi,5,0
HBab75,Bambasi,5,9
HBab80,Bambasi,5,9
HBab81,Bambasi,5,9
HShr35,Sherkole,5,9
LBab37,Bambasi,5,0
LBab56,Bambasi,5,0
LBab57,Bambasi,5,9
LBab67,Bambasi,5,0
LBab82,Bambasi,5,0
HBab9,Bambasi,5,9
HBab21,Bambasi,5,0
HBab37,Bambasi,5,9
